가게 이름,1,2,3,4,5
속초대게나라홍게마을,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""양이 많아요""","""매장이 청결해요"""
너도대게나도대게,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""매장이 넓어요""","""매장이 청결해요"""
동명항대게마을,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""양이 많아요""","""매장이 청결해요"""
청초수물회,"""음식이 맛있어요""","""재료가 신선해요""","""매장이 넓어요""","""뷰가 좋아요""","""주차하기 편해요"""
조개상회 본점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""인테리어가 멋져요""","""특별한 메뉴가 있어요"""
봉포머구리집,"""음식이 맛있어요""","""매장이 넓어요""","""재료가 신선해요""","""뷰가 좋아요""","""주차하기 편해요"""
부부활어회센터,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""양이 많아요""","""가성비가 좋아요"""
브릭스블럭482,"""커피가 맛있어요""","""뷰가 좋아요""","""친절해요""","""인테리어가 멋져요""","""디저트가 맛있어요"""
진미막국수,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""양이 많아요""","""주차하기 편해요"""
수빈이네찜,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""양이 많아요""","""특별한 메뉴가 있어요"""
